date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:27:32	12730/12730	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2006:57:29%20GMT	https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252	C:/My%20Web%20Sites/payment/p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index2a9b.html	(from )
12:27:33	1003/1003	---MCZ	200	added ('OK')	text/html	date:Sat,%2029%20Mar%202025%2006:57:30%20GMT	https://p.w3layouts.com/robots.txt		(from )
12:27:33	10064/10064	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:33%20GMT	https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/css/style.css	C:/My%20Web%20Sites/payment/p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/css/style.css	(from https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252)
12:27:33	2280/2280	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:33%20GMT	https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/css/creditly.css	C:/My%20Web%20Sites/payment/p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/css/creditly.css	(from https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252)
12:27:33	3831/3831	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:33%20GMT	https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/css/easy-responsive-tabs.css	C:/My%20Web%20Sites/payment/p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/css/easy-responsive-tabs.css	(from https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252)
12:27:33	93100/93100	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:59:33%20GMT	https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/js/jquery.min.js	C:/My%20Web%20Sites/payment/p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/js/jquery.min.js	(from https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252)
12:27:35	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2029%20Mar%202025%2006:57:32%20GMT	http://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/payment/m.servedby-buysellads.com/monetization.6.delayed	(from https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252)
12:27:35	35128/35128	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:59:33%20GMT	https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/css/font-awesome.css	C:/My%20Web%20Sites/payment/p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/css/font-awesome.css	(from https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252)
12:27:35	78313/78313	---MCZ	200	added ('OK')	application/javascript	etag:W/%22662297620fc328d2fb335565fd03b8f6%22	https://m.servedby-buysellads.com/monetization.js	C:/My%20Web%20Sites/payment/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252)
12:27:35	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	C:/My%20Web%20Sites/payment/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demos_new/16-02-2017/tabs_payment_form-demo_Free/511620680/web/index.html?_gl=1*jv2znx*_ga*MTkwNjMxMzg0LjE3NDMyMzEyNTI.*_ga_9HSZ46TKMQ*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy42MC4wLjA.*_ga_EGV5GTJEP5*MTc0MzIzMTI1MS4xLjEuMTc0MzIzMTQyNy4wLjAuMA..*_ga_FFZF56TTWE*MTc0MzIzMTI1Mi4xLjEuMTc0MzIzMTQyNy4wLjAuMA..&_ga=2.197205803.501628643.1743231252-190631384.1743231252)
